titulo,empresa,fecha,herramientas,descripcion,ubicacion,presencialidad,funciones,jornada,experiencia,tipo_contrato,salario,solicitudes,fecha_scrapeo,url,portal
AUXILIAR INFORMÁTICO/A Barcelona,"IMAN TEMPORING ETT, S.L.",Hace 17 horas (Actualizada),- Formación: FPII/CFGM en Informática.- Experiencia previa como auxiliar informático/a.- Valorable nivel medio de inglés.- Dominio Excel.- Persona proactiva y con ganas de aprender. Si la oferta te parece interesante ¡No dudes en inscribirte!,"Desde IMAN Temporing Sabadell, empresa especializada en RRHH, queremos acompañarte en tu trayectoria laboral. #ConectamoseltalentoconlasoportunidadesBuscamos incorporar a un/a auxiliar informático/a para una gran empresa del sector de la informática e ingeniería ubicada en el Vallés Occidental. ¿QUE FUNCIONES REALIZARAS? -Realizar test en impresoras 3D para verificar su correcto funcionamiento. -Uso de sistema operativo Linux.-Utilización de programadas de edición 3D tales como 3Ds Max, Blender, AutoCAD, Netfabb. -Realización informes sobre las conclusiones de pruebas realizadas.",Barcelona,,"['Técnico de Impresoras', 'Categoría o nivelEmpleado']",,No se requiere experiencia,,Entre 10.000 y 15.000€ Brutos/anuales,13.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/auxiliar-informaticoa/barcelona/2989159/,infoempleo
Técnico/a informático Zamudio (Vizcaya),"IMAN TEMPORING ETT, S.L.",Hace 41 horas (Actualizada),-	Disponibilidad de incorporación inmediata.-	Experiencia y/o formación informáticaSi la oferta te parece interesante ¡No dudes en inscribirte!,"Desde IMAN Temporing, empresa especializada en RRHH, queremos acompañarte en tu trayectoria laboral. #ConectamoseltalentoconlasoportunidadesDesde nuestra oficina de Bilbao, seleccionamos un/a Tecnico/a informático/a  para empresa de artes gráficas ubicada en ZamudioTus funciones serán las siguientes dependiendo de tu experiencia.Instalación y configurar equipos informáticos, perfiles de usuario, resolución de incidencias tanto de software como de hardware y telecomunicaciones.",Zamudio (Vizcaya),,"['Técnico de Hardware', 'Técnico de Hardware y Software', 'Categoría o nivelTécnico']",,No se requiere experiencia,,Entre 20.000 y 25.000€ Brutos/anuales,27.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/tecnicoa-informatico/zamudio/2987552/,infoempleo
Soporte informático 1 hora al día (H/M) Zamudio (Vizcaya),ANANDA GESTION ETT,Hace 17 horas (Actualizada),- Imprescindible 2 años como mínimo de experiencia.- Disponibilidad de incorporación inmediata.- Persona comprometida.,Se precisa operario para soporte informático para empresa situada en Zamudio.Para trabajar 1 hora al día de lunes a domingo.Es necesario tener carnet de conducir y vehículo propio.,Zamudio (Vizcaya),,"['Técnico de Soporte', 'Técnico de Microinformática', 'Categoría o nivelTécnico']",Jornada Parcial,Al menos 3 años de experiencia,Contrato De duración determinada,Retribución sin especificar,10.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/soporte-informatico-1-hora-al-dia-hm/zamudio/2986295/,infoempleo
Ingeniero Informático Puerto Marítimo Málaga (Málaga),Cycle Servicios Integrales CE,Hace 17 horas (Actualizada),"Titulación Ingeniería Informática( Licenciatura o grado)Nivel alto de inglésExperiencia en redes físicas y wifiexperiencia en Firewalls y VPN¨Experiencia en VMWARE , S.O Microsoft Server , active directorio y LinuxExcelentes habilidades de comunicación.","Mantenimiento , supervisión, configuración e instalación de servidores y entornos virtualesInstalación y mantenimiento de redes y cableado estructuradoInstalación y mantenimiento de software: Linux, Windows, Veeam backup, Veritas BackupInstalación y gestión de VPN, enrutamientos.Instalación y mantenimiento de sistemas de control de accesos y CCTVDetección de riesgos y resolución de incidencias en tiempo real mediante soporte telefónico o asistencia presencial.",Málaga,,"['Técnico de Soporte', 'Técnico de Hardware y Software', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 2 años de experiencia,Contrato De duración determinada,Retribución sin especificar,16.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/ingeniero-informatico-puerto-maritimo/malaga/2983795/,infoempleo
Formador/a de Competencias digitales en Castilla la mancha Guadalmez (Ciudad Real),HEDIMA,Hace 17 horas (Actualizada),"Cumplir como mínimo alguno de los siguientes requisitos:- Título de Grado universitario, Licenciado, Ingeniero, Arquitecto u otros títulos equivalentes.- Diplomado, Ingeniero Técnico, Arquitecto Técnico u otros títulos equivalentes- Técnico Superior de la Familia Profesional de Informática y ComunicacionesImprescindible:Tener 4 año de experiencia laboral en el ámbito de las Tecnologías de la Información y la Comunicación (TIC).Cumplir como mínimo alguno de los siguientes requisitos:- Certificado de profesionalidad de Docencia de la Formación Profesional para el Empleo o equivalente.- Acreditar una experiencia docente de al menos 300 horas en modalidad presencial.- Titulaciones universitarias de Psicología, Pedagogía, o Psicopedagogía, Máster Universitario de Formación de Formadores u otras acreditaciones oficiales equivalentes.","Si te apasiona la formación y tienes experiencia impartiendo cursos sobre esta materia, ¡este es tu proyecto!las formaciones se empezarán a ejecutar en el mes de agosto, estas se impartirán para mujeres desempleadas en áreas rurales de menos de 30.000 habitantes.Un curso que serán de 40H totales que se realizará por las mañanas o por las tardes.Si quieres formar parte del nuestro equipo multidisciplinar para esta y futuras ocasiones... ¡no dudes en inscribirte!",Guadalmez (Ciudad Real),,"['Formador Técnico', 'Categoría o nivelTécnico']",Jornada Indiferente,Al menos 5 años de experiencia,Contrato Autónomo o freelance,Retribución sin especificar,20.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/formadora-de-competencias-digitales-en-castilla-la-mancha/guadalmez/2979142/,infoempleo
Técnico/a testeo con Linux Barcelona,"IMAN TEMPORING ETT, S.L.",Hace 17 horas (Actualizada),Formación de CFGM y/o CFGS de Artes Gráficas y/o informática  Experiencia de 1 año   Nivel medio de inglés (valorable),"Desde IMAN Temporing, empresa especializada en RRHH, queremos acompañarte en tu trayectoria laboral. #ConectamoseltalentoconlasoportunidadesMultinacional ubicada en Sant Cugat del Vallés, precisa de Técnico/a para empresa dedicada al sector electrónica para realizar testeo de impresoras de gran de formato en centro de trabajo en zona Franca.¿Cuáles serán tus funciones?   Cambio de piezas Impresión de imágenes Redacción de informes en Excel Uso de Linux Valorable:- Conocimientos con 3DS Max, Blender, AutoCAD, Netfabb. Se ofrece:  - Jornada partida y/o intensiva de mañana o tarde - Contrato de larga duración",Barcelona,,"['Técnico de Calidad y/o Pruebas', 'Categoría o nivelTécnico']",,Al menos 1 año de experiencia,,Entre 15.000 y 20.000€ Brutos/anuales,3.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/tecnicoa-testeo-con-linux/barcelona/2978926/,infoempleo
Técnico/a Sistemas Barcelona,"IMAN TEMPORING ETT, S.L.",Hace 17 horas (Actualizada),"- Formación de Grado medio o superior en sistemas y redes- Incorporación inmediataValorable conocimientos:- Windows Server, Citrix, Hyper-V y/o VMware.- Servicios: DHCP, DNS, NTP, NAT, etc...- Tecnologías (Switch/Firewalls): CISCO, Fortigate, Huawei, PFSense- Herramientas de monitorización (Zabbix, PingDom).- Herramientas de gestión de tiquets (SNOW, Remedy).- Certificaciones CCNA/CCNP y/o de otros fabricantes.Si la oferta te parece interesante ¡No dudes en inscribirte!","Desde IMAN Temporing, empresa especializada en RRHH, queremos acompañarte en tu trayectoria laboral. #ConectamoseltalentoconlasoportunidadesEmpresa ubicada en Terrassa especializada en espacio de trabajo virtual, precisa de técnico/a de sistemas y redes para realizar las siguientes funciones:- Administración de sistemas- Análisis de redes- Soporte de nivel 2 - Control logístico de los activos- Gestión de tickets de cliente externos (con timing)¿Qué ofrecemos?- Jornada partida - Horario de lunes a viernes de 11h a 20h (con 1h para comer) - Servicios de guardia 1 semana al mes (remuneración a parte)- Formato de trabajo:  3 días presencial y 2 días en remoto- Contrato por ETT",Barcelona,,"['Técnico de Sistemas', 'Categoría o nivelTécnico']",,Al menos 2 años de experiencia,,Entre 20.000 y 25.000€ Brutos/anuales,11.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/tecnicoa-sistemas/barcelona/2975286/,infoempleo
Administrativo/a de logística (sector electrónico) Batres (Madrid),"IMAN TEMPORING ETT, S.L.",Hace 41 horas (Actualizada),"Se valorará:- Experiencia en un puesto similar de logística.- Conocimientos en Microsoft Office y especialmente Excel- Valorable positivamente tener conocimientos en electrónica.- Disponibilidad de incorporación inmediata.Si la oferta te parece interesante, inscríbete!","Desde IMAN Temporing, empresa especializada en RRHH, queremos acompañarte en tu trayectoria laboral. #ConectamoseltalentoconlasoportunidadesDesde nuestra oficina de Alcobendas, seleccionamos un/a Administrativo/a de logística dar servicio a importante empresa del sector tecnológico con presencia en diferentes puntos de Madrid. En este caso, el trabajo se desempeñaría dentro de las instalaciones de MediaMarkt  (Pinto, Madrid sur). Tus funciones serán las siguientes:- Screening y gestión de presupuestos.- Envió de los terminales desde HUB MediaMarkt (control de incidencias y proceso de entradas)- Actualización de ficheros.- Atención al cliente.- Coordinar recogidas y gestionar entregas.- Demás funciones administrativas propias del departamento.¿Qué ofrecemos?:- Horario: De L - V de 8:00 a 16:00h- Jornada: 40 horas semanales.- Contrato: temporal 6 meses con posibilidad de paso a plantilla- Salario: 11,11€? brutos/hora.-Centro de trabajo en Pinto (Sur de Madrid)",Batres (Madrid),,"['Técnico de Hardware y Software', 'Categoría o nivelTécnico']",,No se requiere experiencia,,Entre 15.000 y 20.000€ Brutos/anuales,74.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/administrativoa-de-logistica-sector-electronico/batres/2974948/,infoempleo
Ingeniero Informático España,Foster Swiss,Hace 17 horas (Actualizada),"Requisitos mínimos: • Ingeniero informático titulado • Experiencia en Core bankings procesamiento de pagos• Especialista en procesamiento de pagos • Manejo del programa Oracle, Indra y similares• Alto domino ingles• Media jornada trabajo online","Si cuentas con una sólida experiencia en dirección y gestión de empresas y de equipos. Con más de 15 años de experiencia en gestión de clientes, orientado a resultados, ponte en contacto con nosotros. Capacidades: • Orientación a resultados. • Habilidades sociales. • Flexibilidad y capacidad de adaptación.",España,Teletrabajo 100%,"['Director de Organización', 'Director de Área Técnica', 'Director de Informática', 'Director de Proyecto Informático', 'Categoría o nivelDirección']",,Entre 1 y 15 años de experiencia,,36.000€ Brutos/anuales,15.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/ingeniero-informatico/espanna/2974757/,infoempleo
Programador/a Java Sevilla (Sevilla),"IMAN TEMPORING ETT, S.L.",Hace 41 horas (Actualizada),-Experiencia mínima de 2 años como Programador Java.-Disponibilidad horaria.-FPII relacionado con las TIC.,"Desde IMAN Temporing, empresa especializada en RRHH, queremos acompañarte en tu trayectoria laboral. #ConectamoseltalentoconlasoportunidadesDesde la delegación de Sevilla estamos en búsqueda de un/a Programador/a Java  para trabajar en el sector de la Administración Pública.¿Qué funciones realizarás?:- Codificación de las unidades  de desarrollo.- Desarrollo web en entorno tecnológico.- Apoyo a tareas de análisis.- Elaboración de documentación técnica.Ofrecemos:-Jornada completa.- Contrato temporal con posibilidad de continuidad.-Horario de mañana.- Salario según convenio.- 100% teletrabajo.",Sevilla,,"['Programador JAVA', 'Categoría o nivelTécnico']",,Al menos 3 años de experiencia,,Entre 25.000 y 30.000€ Brutos/anuales,32.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/programadora-java/sevilla/2974170/,infoempleo
Analista funcional (Administración Electrónica) Copia Sevilla (Sevilla),"IMAN TEMPORING ETT, S.L.",Hace 41 horas (Actualizada),-Ingeniería técnica en informática o similar.-Experiencia mínima de 3 años como Analista.-Disponibilidad horaria.,"Desde IMAN Temporing, empresa especializada en RRHH, queremos acompañarte en tu trayectoria laboral. #ConectamoseltalentoconlasoportunidadesDesde la delegación de Sevilla estamos en búsqueda de un Analista Funcional con conocimientos en Administración electrónica  para trabajar en el sector de la Administración Pública.¿Qué funciones realizarás?:-La principal función es llevar a cabo la transformación digital de una plataforma de la administración pública.-Elaborar análisis funcional separado asociado a cada una de las actuaciones que vayan surgiendo.Elaborar el diseño separado asociado de cada una de las actuaciones surgidas.-Coordinador e intermediario con el cliente.-Analizar los procesos dentro del equipo buscando satisfacer las necesidades del cliente.-Gestión de la documentación.Ofrecemos:-Jornada completa.-Contrato temporal con posibilidad de continuidad.-Horario de mañana.- Salario según convenio.- 100% teletrabajo.",Sevilla,,"['Analista Funcional', 'Categoría o nivelTécnico']",,Al menos 3 años de experiencia,,Entre 35.000 y 40.000€ Brutos/anuales,17.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/analista-funcional-administracion-electronica-copia/sevilla/2974166/,infoempleo
